,date,keyword
550,2021-07-02,15
551,2021-07-03,14
552,2021-07-04,13
553,2021-07-05,15
554,2021-07-06,17
555,2021-07-07,17
556,2021-07-08,19
557,2021-07-09,18
558,2021-07-10,16
559,2021-07-11,16
560,2021-07-12,20
561,2021-07-13,20
562,2021-07-14,21
563,2021-07-15,21
564,2021-07-16,24
565,2021-07-17,21
566,2021-07-18,21
567,2021-07-19,28
568,2021-07-20,28
569,2021-07-21,29
570,2021-07-22,31
571,2021-07-23,31
572,2021-07-24,28
573,2021-07-25,27
574,2021-07-26,34
575,2021-07-27,37
576,2021-07-28,40
577,2021-07-29,39
578,2021-07-30,40
579,2021-07-31,37
580,2021-08-01,37
581,2021-08-02,46
582,2021-08-03,48
583,2021-08-04,82
584,2021-08-05,61
585,2021-08-06,49
586,2021-08-07,43
587,2021-08-08,41
588,2021-08-09,51
589,2021-08-10,53
590,2021-08-11,49
591,2021-08-12,52
592,2021-08-13,50
593,2021-08-14,46
594,2021-08-15,42
595,2021-08-16,49
596,2021-08-17,51
597,2021-08-18,52
598,2021-08-19,52
599,2021-08-20,50
600,2021-08-21,43
601,2021-08-22,42
602,2021-08-23,55
603,2021-08-24,55
604,2021-08-25,52
605,2021-08-26,51
606,2021-08-27,48
607,2021-08-28,40
608,2021-08-29,39
609,2021-08-30,48
610,2021-08-31,49
611,2021-09-01,75
612,2021-09-02,54
613,2021-09-03,43
614,2021-09-04,38
615,2021-09-05,34
616,2021-09-06,36
617,2021-09-07,45
618,2021-09-08,43
619,2021-09-09,44
620,2021-09-10,44
621,2021-09-11,35
622,2021-09-12,32
623,2021-09-13,41
624,2021-09-14,40
625,2021-09-15,39
626,2021-09-16,38
627,2021-09-17,35
628,2021-09-18,30
629,2021-09-19,28
630,2021-09-20,35
631,2021-09-21,36
632,2021-09-22,33
633,2021-09-23,32
634,2021-09-24,32
635,2021-09-25,27
636,2021-09-26,25
637,2021-09-27,32
638,2021-09-28,33
639,2021-09-29,31
640,2021-09-30,31
641,2021-10-01,30
642,2021-10-02,25
643,2021-10-03,22
644,2021-10-04,28
645,2021-10-05,28
646,2021-10-06,28
647,2021-10-07,28
648,2021-10-08,26
649,2021-10-09,22
650,2021-10-10,20
651,2021-10-11,25
652,2021-10-12,26
653,2021-10-13,26
654,2021-10-14,25
655,2021-10-15,23
656,2021-10-16,19
657,2021-10-17,18
658,2021-10-18,24
659,2021-10-19,25
660,2021-10-20,24
661,2021-10-21,23
662,2021-10-22,23
663,2021-10-23,19
664,2021-10-24,18
665,2021-10-25,24
666,2021-10-26,25
667,2021-10-27,25
668,2021-10-28,24
669,2021-10-29,22
670,2021-10-30,18
671,2021-10-31,17
672,2021-11-01,24
673,2021-11-02,25
674,2021-11-03,27
675,2021-11-04,29
676,2021-11-05,28
677,2021-11-06,22
678,2021-11-07,21
679,2021-11-08,27
680,2021-11-09,27
681,2021-11-10,26
682,2021-11-11,25
683,2021-11-12,25
684,2021-11-13,22
685,2021-11-14,21
686,2021-11-15,27
687,2021-11-16,28
688,2021-11-17,28
689,2021-11-18,27
690,2021-11-19,27
691,2021-11-20,24
692,2021-11-21,23
693,2021-11-22,29
694,2021-11-23,29
695,2021-11-24,26
696,2021-11-25,21
697,2021-11-26,29
698,2021-11-27,29
699,2021-11-28,28
700,2021-11-29,34
701,2021-11-30,33
702,2021-12-01,32
703,2021-12-02,33
704,2021-12-03,33
705,2021-12-04,27
706,2021-12-05,25
707,2021-12-06,30
708,2021-12-07,29
709,2021-12-08,30
710,2021-12-09,29
711,2021-12-10,28
712,2021-12-11,25
713,2021-12-12,22
714,2021-12-13,31
715,2021-12-14,33
716,2021-12-15,35
717,2021-12-16,42
718,2021-12-17,47
719,2021-12-18,46
720,2021-12-19,47
721,2021-12-20,61
722,2021-12-21,71
723,2021-12-22,77
724,2021-12-23,74
725,2021-12-24,66
726,2021-12-25,50
727,2021-12-26,66
728,2021-12-27,88
729,2021-12-28,100
730,2021-12-29,91
731,2021-12-30,89
732,2021-12-31,77
733,2022-01-01,61
734,2022-01-02,71
735,2022-01-03,90
736,2022-01-04,98
737,2022-01-05,95
738,2022-01-06,84
739,2022-01-07,80
740,2022-01-08,71
741,2022-01-09,67
742,2022-01-10,74
743,2022-01-11,74
744,2022-01-12,73
745,2022-01-13,70
746,2022-01-14,61
747,2022-01-15,52
748,2022-01-16,47
749,2022-01-17,51
750,2022-01-18,70
751,2022-01-19,94
752,2022-01-20,85
753,2022-01-20,100
754,2022-01-21,95
755,2022-01-22,60
756,2022-01-23,43
757,2022-01-24,49
758,2022-01-25,48
759,2022-01-26,44
760,2022-01-27,42
761,2022-01-28,36
762,2022-01-29,31
763,2022-01-30,30
764,2022-01-31,34
765,2022-02-01,32
766,2022-02-02,30
767,2022-02-03,29
768,2022-02-04,27
769,2022-02-05,25
770,2022-02-06,23
771,2022-02-07,27
772,2022-02-08,27
773,2022-02-09,26
774,2022-02-10,25
775,2022-02-11,23
776,2022-02-12,20
777,2022-02-13,18
778,2022-02-14,21
779,2022-02-15,23
780,2022-02-16,23
781,2022-02-17,21
782,2022-02-18,20
783,2022-02-19,17
784,2022-02-20,17
785,2022-02-21,19
786,2022-02-22,19
787,2022-02-23,19
788,2022-02-24,17
789,2022-02-25,16
790,2022-02-26,16
791,2022-02-27,14
792,2022-02-28,18
793,2022-03-01,17
794,2022-03-02,18
795,2022-03-03,16
796,2022-03-04,15
797,2022-03-05,13
798,2022-03-06,13
799,2022-03-07,17
800,2022-03-08,17
801,2022-03-09,16
802,2022-03-10,16
803,2022-03-11,15
804,2022-03-12,13
805,2022-03-13,13
806,2022-03-14,17
807,2022-03-15,18
808,2022-03-16,16
809,2022-03-17,15
810,2022-03-18,15
811,2022-03-19,13
812,2022-03-20,13
813,2022-03-21,15
814,2022-03-22,15
815,2022-03-23,15
816,2022-03-24,13
817,2022-03-25,12
818,2022-03-26,11
819,2022-03-27,11
820,2022-03-28,13
821,2022-03-29,16
822,2022-03-30,16
823,2022-03-31,14
824,2022-04-01,13
825,2022-04-02,12
826,2022-04-03,12
827,2022-04-04,14
828,2022-04-05,15
829,2022-04-06,15
830,2022-04-07,15
831,2022-04-08,14
832,2022-04-09,12
833,2022-04-10,13
834,2022-04-11,17
835,2022-04-12,17
836,2022-04-13,15
837,2022-04-14,16
838,2022-04-15,14
839,2022-04-16,13
840,2022-04-17,12
841,2022-04-18,16
842,2022-04-19,16
843,2022-04-20,15
844,2022-04-21,14
845,2022-04-22,13
846,2022-04-23,12
847,2022-04-24,12
848,2022-04-25,15
849,2022-04-26,16
850,2022-04-27,16
851,2022-04-28,16
852,2022-04-29,14
853,2022-04-30,13
854,2022-05-01,13
855,2022-05-02,16
856,2022-05-03,16
857,2022-05-04,17
858,2022-05-05,17
859,2022-05-06,17
860,2022-05-07,15
861,2022-05-08,14
862,2022-05-09,19
863,2022-05-10,20
864,2022-05-11,19
865,2022-05-12,19
866,2022-05-13,18
867,2022-05-14,16
868,2022-05-15,16
